what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349822744101
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1349822775249
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1349822777159
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349822783991
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349822787710
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349822790874
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349822874969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349822963205
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349822993603
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349823021523
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349823035387
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349823056527
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349823061417
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1349823067985
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1349823070587
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349823265162
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1349824449651
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349824449699
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1349824505047
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1349824644622
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349824646990
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1349824718514
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349824720853
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1349824720921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349824728184
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1349824730139
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349824765208
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349824793388
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349824797552
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1349824884313
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349824900145
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349824928359
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349824954921
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1349824956522
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1349824956859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349824958676
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349824959481
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1349824985857
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1349825027069
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1349825027603
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1349825027875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349825029142
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1349825060267
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1349825064859
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1349825067397
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349825078471
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1349825084101
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1349825098202
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1349825100236
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349825123606
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1349825148469
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1349825160506
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1349825163104
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1349825167151
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1349825170239
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1349825175611
activated,editor,org.epic.perleditor,0.5.38,"org.epic.perleditor.editors.PerlEditor",1349825177589
